"","contrast","vaxrate","nu","beta","estimate","SE","df","t.ratio","p.value"
"74","betap1.75 - betap1.5","0","0","2.1",-0.914,0.122,1296,-7.499,0
"75","betap2 - betap1.75","0","0","2.1",-0.79,0.122,1296,-6.48,0
"76","betap1.5 - betap1.25","0.25","0","2.1",-1.447,0.122,1296,-11.87,0
"77","betap1.75 - betap1.5","0.25","0","2.1",-0.928,0.122,1296,-7.609,0
"78","betap2 - betap1.75","0.25","0","2.1",-0.589,0.122,1296,-4.831,0
"79","betap1.5 - betap1.25","0.5","0","2.1",-0.693,0.122,1296,-5.686,0
"80","betap1.75 - betap1.5","0.5","0","2.1",-0.517,0.122,1296,-4.243,0
"81","betap2 - betap1.75","0.5","0","2.1",-0.308,0.122,1296,-2.527,0.035
"82","betap1.5 - betap1.25","0.75","0","2.1",-0.242,0.122,1296,-1.987,0.141
"83","betap1.75 - betap1.5","0.75","0","2.1",-0.154,0.122,1296,-1.267,0.616
"84","betap2 - betap1.75","0.75","0","2.1",-0.148,0.122,1296,-1.211,0.678
"85","betap1.5 - betap1.25","0","0.25","2.1",-0.58,0.122,1296,-4.754,0
"86","betap1.75 - betap1.5","0","0.25","2.1",-0.48,0.122,1296,-3.939,0
"87","betap2 - betap1.75","0","0.25","2.1",-0.323,0.122,1296,-2.647,0.025
"88","betap1.5 - betap1.25","0.25","0.25","2.1",-0.449,0.122,1296,-3.683,0.001
"89","betap1.75 - betap1.5","0.25","0.25","2.1",-0.352,0.122,1296,-2.891,0.012
"90","betap2 - betap1.75","0.25","0.25","2.1",-0.306,0.122,1296,-2.509,0.037
"91","betap1.5 - betap1.25","0.5","0.25","2.1",-0.378,0.122,1296,-3.1,0.006
"92","betap1.75 - betap1.5","0.5","0.25","2.1",-0.222,0.122,1296,-1.821,0.207
"93","betap2 - betap1.75","0.5","0.25","2.1",-0.166,0.122,1296,-1.358,0.524
"94","betap1.5 - betap1.25","0.75","0.25","2.1",-0.145,0.122,1296,-1.193,0.699
"95","betap1.75 - betap1.5","0.75","0.25","2.1",-0.142,0.122,1296,-1.164,0.733
"96","betap2 - betap1.75","0.75","0.25","2.1",0.241,0.122,1296,1.98,0.144
"97","betap1.5 - betap1.25","0","0.5","2.1",-0.372,0.122,1296,-3.051,0.007
"98","betap1.75 - betap1.5","0","0.5","2.1",-0.145,0.122,1296,-1.19,0.703
"99","betap2 - betap1.75","0","0.5","2.1",-0.261,0.122,1296,-2.139,0.098
"100","betap1.5 - betap1.25","0.25","0.5","2.1",-0.383,0.122,1296,-3.139,0.005
"101","betap1.75 - betap1.5","0.25","0.5","2.1",-0.086,0.122,1296,-0.707,1
"102","betap2 - betap1.75","0.25","0.5","2.1",-0.195,0.122,1296,-1.599,0.33
"103","betap1.5 - betap1.25","0.5","0.5","2.1",-0.235,0.122,1296,-1.925,0.163
"104","betap1.75 - betap1.5","0.5","0.5","2.1",-0.155,0.122,1296,-1.269,0.614
"105","betap2 - betap1.75","0.5","0.5","2.1",-0.061,0.122,1296,-0.497,1
"106","betap1.5 - betap1.25","0.75","0.5","2.1",-0.189,0.122,1296,-1.549,0.365
"107","betap1.75 - betap1.5","0.75","0.5","2.1",-0.062,0.122,1296,-0.508,1
"108","betap2 - betap1.75","0.75","0.5","2.1",-0.13,0.122,1296,-1.063,0.863
